Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, AvgDiagDist, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign," DiagonalNonZeros 
",Filename, Dimension, True largest Eigen Value, Eigen Value from Power method, Absolute Error, Relative Error for largest Eigen Value, True smallest Eigen Value, Smallest eigen value from double power method, Relative error for smallest Eigen value, Condn No. from lamda_max/lamda_min, True Condn no. (condest(A 2)), condest(A 1), cond(A 2), cond(A 1), Relative error for condition no.," Symmetric? 
"
adder_dcop_08.mat,1813,11242,1310,1,6.200772,32.340206,0,618.25,0,7.818406,7.818406,4.683554,4.722733,4.883395,4.700843,4.883328,0.078942,0.025654,0.004312,0,0,1.000002,1,1763,1801,0.004312,-1,"1801
",adder_dcop_08.mat,1813,2.62139,2.652678,0.031288,0.011936,1,5.716278,4.716278,0.464057,2.34E+12,2.34E+12,2.34E+12,2.34E+12,1.00E+00,"0
"
adder_dcop_09.mat,1813,11239,1310,1,6.199117,93.980285,0,618.25,0,44.389694,44.389694,29.867495,29.9004,23.235203,29.882509,23.235193,0.057634,0.021529,0.024484,0,0,1.000088,1,1763,1801,0.024484,-1,"1801
",adder_dcop_09.mat,1813,20.376209,19.851003,0.525207,0.025775,1.001395,0.002309,0.997694,8597.868321,1.49E+13,1.49E+13,1.49E+13,1.49E+13,1.00E+00,"0
"
adder_dcop_10.mat,1813,11232,1310,1,6.195256,33.995424,0,618.25,0,9.467724,9.467724,4.910904,4.931754,5.168219,4.920572,5.168171,0.068989,0.022247,0.005222,0,0,1.000002,1,1763,1801,0.005222,-1,"1801
",adder_dcop_10.mat,1813,2.758579,2.781974,0.023395,0.008481,1.000001,-0.772577,0.227424,3.600903,2.46E+12,2.46E+12,2.46E+12,2.46E+12,1.00E+00,"0
"
adder_dcop_11.mat,1813,11243,1310,1,6.201324,29.105902,0,618.25,0,6.631616,6.631616,2.932791,2.94475,4.420132,2.937033,4.420094,0.053056,0.01825,0.003658,0,0,1.000001,1,1763,1801,0.003658,-1,"1801
",adder_dcop_11.mat,1813,1.639906,1.696687,0.056781,0.034625,1,-0.94909,0.05091,1.787699,1.47E+12,1.47E+12,1.47E+12,1.47E+12,1.00E+00,"0
"
adder_dcop_12.mat,1813,11246,1310,1,6.202978,27.606684,0,618.25,0,5.71098,5.71098,2.439586,2.463291,4.317337,2.451217,4.317304,0.047841,0.016868,0.00315,0,0,1,1,1763,1801,0.00315,-1,"1801
",adder_dcop_12.mat,1813,1.429989,1,0.429989,0.300694,1,3,2,0.333333,1.22E+12,1.22E+12,1.22E+12,1.22E+12,1.00E+00,"0
"
adder_dcop_13.mat,1813,11245,1310,1,6.202427,26.880607,0,618.25,0,5.318909,5.318909,2.187828,2.190406,4.290903,2.188731,4.290877,0.036915,0.014966,0.002934,0,0,1,1,1763,1801,0.002934,-1,"1801
",adder_dcop_13.mat,1813,1.340904,1,0.340904,0.254234,1,3,2,0.333333,1.09E+12,1.09E+12,1.09E+12,1.09E+12,1.00E+00,"0
"
adder_dcop_14.mat,1813,11246,1310,1,6.202978,27.029977,0,618.25,0,5.41597,5.41597,2.432901,2.441177,4.314751,2.436946,4.314741,0.022048,0.009179,0.002987,0,0,1,1,1763,1801,0.002987,-1,"1801
",adder_dcop_14.mat,1813,1.431568,1.073144,0.358424,0.250371,1,-0.999829,0.000171,1.073327,1.22E+12,1.22E+12,1.22E+12,1.22E+12,1.00E+00,"0
"
adder_dcop_15.mat,1813,11246,1310,1,6.202978,26.399942,0,618.25,0,5.098468,5.098468,2.178449,2.178523,4.288306,2.178388,4.288298,0.01553,0.008605,0.002812,0,0,1,1,1763,1801,0.002812,-1,"1801
",adder_dcop_15.mat,1813,1.338514,1,0.338514,0.252903,1,-1,0.000001,1.000001,1.09E+12,1.09E+12,1.09E+12,1.09E+12,1.00E+00,"0
"
adder_dcop_16.mat,1813,11246,1310,1,6.202978,25.974513,0,618.25,0,4.908301,4.908301,2.005446,2.004532,4.276032,2.004541,4.276024,0.00834,0.007999,0.002707,0,0,1,1,1763,1801,0.002707,-1,"1801
",adder_dcop_16.mat,1813,1.282926,1,0.282926,0.220532,1,-1,0,1,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+00,"0
"
adder_dcop_17.mat,1813,11246,1310,1,6.202978,25.843914,0,618.25,0,4.842069,4.842069,1.939259,1.943893,4.272138,1.941545,4.272132,0.006339,0.007486,0.002671,0,0,1,1,1763,1801,0.002671,-1,"1801
",adder_dcop_17.mat,1813,1.262437,1,0.262437,0.207881,1,3,2,0.333333,9.70E+11,9.70E+11,9.70E+11,9.70E+11,1.00E+00,"0
"
adder_dcop_18.mat,1813,11246,1310,1,6.202978,25.820117,0,618.25,0,4.842688,4.842688,1.916559,1.917831,4.270978,1.917191,4.270971,0.004706,0.007656,0.002671,0,0,1,1,1763,1801,0.002671,-1,"1801
",adder_dcop_18.mat,1813,1.255928,1.024157,0.231772,0.184542,1,-0.999995,0.000005,1.024161,9.58E+11,9.58E+11,9.58E+11,9.58E+11,1.00E+00,"0
"
adder_dcop_19.mat,1813,11245,1310,1,6.202427,25.664593,0,618.25,0,4.76251,4.76251,1.904575,1.911873,4.270242,1.908223,4.270241,0.004912,0.003705,0.002627,0,0,1,1,1763,1801,0.002627,-1,"1801
",adder_dcop_19.mat,1813,1.252272,1.260537,0.008265,0.0066,1,-0.996243,0.003757,1.26529,9.03E+11,9.03E+11,9.03E+11,9.03E+11,1.00E+00,"0
"
adder_dcop_20.mat,1813,11246,1310,1,6.202978,25.549799,0,618.25,0,4.702896,4.702896,1.837046,1.837167,4.266591,1.837106,4.266584,0.004156,0.007686,0.002594,0,0,1,1,1763,1801,0.002594,-1,"1801
",adder_dcop_20.mat,1813,1.231559,1.15903,0.072529,0.058892,1,-0.998884,0.001116,1.160326,8.71E+11,8.71E+11,8.71E+11,8.71E+11,1.00E+00,"0
"
adder_dcop_21.mat,1813,11246,1310,1,6.202978,25.333308,0,618.25,0,4.614777,4.614777,1.664052,1.664944,4.258736,1.663834,4.258729,0.004768,0.007415,0.002545,0,0,1,1,1763,1801,0.002545,-1,"1801
",adder_dcop_21.mat,1813,1.179468,1.176283,0.003185,0.0027,1,-0.998249,0.001751,1.178346,7.89E+11,7.89E+11,7.89E+11,7.89E+11,1.00E+00,"0
"
adder_dcop_22.mat,1813,11246,1310,1,6.202978,25.315213,0,618.25,0,4.654267,4.654267,1.664904,1.663167,4.258824,1.663329,4.258822,0.004715,0.004362,0.002567,0,0,1,1,1763,1801,0.002567,-1,"1801
",adder_dcop_22.mat,1813,1.179701,1.249888,0.070187,0.059495,1,-0.934712,0.065288,1.33719,8.32E+11,8.32E+11,8.32E+11,8.32E+11,1.00E+00,"0
"
adder_dcop_23.mat,1813,11246,1310,1,6.202978,25.277197,0,618.25,0,4.651878,4.651878,1.664518,1.663937,4.25884,1.663877,4.25884,0.002481,0.00241,0.002566,0,0,1,1,1763,1801,0.002566,-1,"1801
",adder_dcop_23.mat,1813,1.179943,1,0.179943,0.152501,1,-1,0.000001,1.000001,7.89E+11,7.89E+11,7.89E+11,7.89E+11,1.00E+00,"0
"
adder_dcop_24.mat,1813,11246,1310,1,6.202978,25.439432,0,618.25,0,4.692944,4.692944,1.663574,1.663551,4.258843,1.663563,4.258834,0.043298,0.008544,0.002588,0,0,1,1,1763,1801,0.002588,-1,"1801
",adder_dcop_24.mat,1813,1.179864,1,0.179864,0.152444,1,-1,0,1,7.89E+11,7.89E+11,7.89E+11,7.89E+11,1.00E+00,"0
"
adder_dcop_25.mat,1813,11246,1310,1,6.202978,25.563856,0,618.25,0,4.754078,4.754078,1.66388,1.663922,4.258885,1.663901,4.25888,0.031251,0.007105,0.002622,0,0,1,1,1763,1801,0.002622,-1,"1801
",adder_dcop_25.mat,1813,1.179963,1,0.179963,0.152516,1,-1,0.000001,1.000001,7.89E+11,7.89E+11,7.89E+11,7.89E+11,1.00E+00,"0
"
adder_dcop_26.mat,1813,11246,1310,1,6.202978,25.401863,0,618.25,0,4.686744,4.686744,1.663722,1.664025,4.258834,1.663874,4.258831,0.019965,0.004675,0.002585,0,0,1,1,1763,1801,0.002585,-1,"1801
",adder_dcop_26.mat,1813,1.179916,1.075591,0.104325,0.088418,1,-0.999896,0.000104,1.075703,7.89E+11,7.89E+11,7.89E+11,7.89E+11,1.00E+00,"0
"
adder_dcop_27.mat,1813,11246,1310,1,6.202978,25.302352,0,618.25,0,4.652064,4.652064,1.663603,1.663606,4.258807,1.663601,4.258806,0.01051,0.002705,0.002566,0,0,1,1,1763,1801,0.002566,-1,"1801
",adder_dcop_27.mat,1813,1.179874,1,0.179874,0.152452,1,2.999934,1.999934,0.333341,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_28.mat,1813,11246,1310,1,6.202978,25.256925,0,618.25,0,4.639518,4.639518,1.663805,1.663821,4.258814,1.663813,4.258814,0.004727,0.001469,0.002559,0,0,1,1,1763,1801,0.002559,-1,"1801
",adder_dcop_28.mat,1813,1.179942,1.174169,0.005773,0.004892,1,-0.996785,0.003215,1.177956,7.97E+11,7.97E+11,7.97E+11,7.97E+11,1.00E+00,"0
"
adder_dcop_29.mat,1813,11246,1310,1,6.202978,25.234316,0,618.25,0,4.630934,4.630934,1.663496,1.663452,4.258791,1.663473,4.258791,0.001934,0.00174,0.002554,0,0,1,1,1763,1801,0.002554,-1,"1801
",adder_dcop_29.mat,1813,1.179839,1.009314,0.170525,0.144533,1,-1,0,1.009314,7.96E+11,7.96E+11,7.96E+11,7.96E+11,1.00E+00,"0
"
adder_dcop_30.mat,1813,11246,1310,1,6.202978,25.226713,0,618.25,0,4.630241,4.630241,1.663809,1.663837,4.258809,1.663823,4.258808,0.001294,0.001109,0.002554,0,0,1,1,1763,1801,0.002554,-1,"1801
",adder_dcop_30.mat,1813,1.179943,1.323966,0.144023,0.122059,1,-0.991542,0.008458,1.33526,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_31.mat,1813,11246,1310,1,6.202978,25.215044,0,618.25,0,4.625221,4.625221,1.663608,1.663582,4.258791,1.663595,4.258791,0.00136,0.001119,0.002551,0,0,1,1,1763,1801,0.002551,-1,"1801
",adder_dcop_31.mat,1813,1.179877,1.039691,0.140185,0.118813,1,-0.99997,0.00003,1.039723,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_32.mat,1813,11246,1310,1,6.202978,25.260057,0,618.25,0,4.649985,4.649985,1.664156,1.664198,4.258859,1.664177,4.258858,0.003607,0.0028,0.002565,0,0,1,1,1763,1801,0.002565,-1,"1801
",adder_dcop_32.mat,1813,1.180044,1.033678,0.146366,0.124035,1,-0.999989,0.000011,1.033689,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_33.mat,1813,11246,1310,1,6.202978,25.242768,0,618.25,0,4.641623,4.641623,1.664208,1.664233,4.258836,1.664221,4.258836,0.002227,0.001694,0.00256,0,0,1,1,1763,1801,0.00256,-1,"1801
",adder_dcop_33.mat,1813,1.180059,1.000001,0.180059,0.152585,1,-1,0,1.000001,8.32E+11,8.32E+11,8.32E+11,8.32E+11,1.00E+00,"0
"
adder_dcop_34.mat,1813,11246,1310,1,6.202978,25.318077,0,618.25,0,4.659237,4.659237,1.66371,1.663705,4.258868,1.663708,4.25886,0.009254,0.008195,0.00257,0,0,1,1,1763,1801,0.00257,-1,"1801
",adder_dcop_34.mat,1813,1.179913,1,0.179913,0.15248,1,-1,0,1,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_35.mat,1813,11246,1310,1,6.202978,25.326714,0,618.25,0,4.669951,4.669951,1.66481,1.662681,4.258834,1.663359,4.258832,0.003961,0.004307,0.002576,0,0,1,1,1763,1801,0.002576,-1,"1801
",adder_dcop_35.mat,1813,1.179613,1.273067,0.093454,0.079224,1,-0.994599,0.005401,1.279979,7.99E+11,7.99E+11,7.99E+11,7.99E+11,1.00E+00,"0
"
adder_dcop_36.mat,1813,11246,1310,1,6.202978,25.354915,0,618.25,0,4.691675,4.691675,1.713716,1.713718,4.261045,1.713712,4.261044,0.002426,0.003179,0.002588,0,0,1,1,1763,1801,0.002588,-1,"1801
",adder_dcop_36.mat,1813,1.194791,1,0.194791,0.163034,1,-1,0.000001,1.000001,8.57E+11,8.57E+11,8.57E+11,8.57E+11,1.00E+00,"0
"
adder_dcop_37.mat,1813,11246,1310,1,6.202978,25.26488,0,618.25,0,4.646109,4.646109,1.672243,1.672659,4.259137,1.672451,4.259136,0.003448,0.003243,0.002563,0,0,1,1,1763,1801,0.002563,-1,"1801
",adder_dcop_37.mat,1813,1.182355,1,0.182355,0.15423,1,-0.799959,0.200041,1.250065,8.36E+11,8.36E+11,8.36E+11,8.36E+11,1.00E+00,"0
"
adder_dcop_38.mat,1813,11246,1310,1,6.202978,25.228848,0,618.25,0,4.630814,4.630814,1.664105,1.664369,4.25881,1.664237,4.25881,0.002453,0.001966,0.002554,0,0,1,1,1763,1801,0.002554,-1,"1801
",adder_dcop_38.mat,1813,1.180017,1.158139,0.021878,0.01854,1,-0.999493,0.000507,1.158727,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_39.mat,1813,11246,1310,1,6.202978,25.213381,0,618.25,0,4.624175,4.624175,1.663667,1.663698,4.258784,1.663683,4.258784,0.001953,0.001405,0.002551,0,0,1,1,1763,1801,0.002551,-1,"1801
",adder_dcop_39.mat,1813,1.179886,1,0.179886,0.152461,1,-1,0,1,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_40.mat,1813,11246,1310,1,6.202978,25.221834,0,618.25,0,4.628467,4.628467,1.666359,1.666433,4.258901,1.666396,4.2589,0.001282,0.001005,0.002553,0,0,1,1,1763,1801,0.002553,-1,"1801
",adder_dcop_40.mat,1813,1.180683,1.107574,0.07311,0.061921,1,-0.999591,0.000409,1.108027,7.96E+11,7.96E+11,7.96E+11,7.96E+11,1.00E+00,"0
"
adder_dcop_41.mat,1813,11246,1310,1,6.202978,25.216307,0,618.25,0,4.624597,4.624597,1.663771,1.663826,4.258795,1.663798,4.258794,0.002241,0.002216,0.002551,0,0,1,1,1763,1801,0.002551,-1,"1801
",adder_dcop_41.mat,1813,1.179928,1,0.179928,0.152491,1,-1,0.000001,1.000001,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_42.mat,1813,11246,1310,1,6.202978,25.207239,0,618.25,0,4.621101,4.621101,1.663467,1.663415,4.258774,1.663434,4.258774,0.002014,0.001612,0.002549,0,0,1,1,1763,1801,0.002549,-1,"1801
",adder_dcop_42.mat,1813,1.179827,1,0.179827,0.152418,1,-1,0.000001,1.000001,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_43.mat,1813,11246,1310,1,6.202978,25.211464,0,618.25,0,4.624138,4.624138,1.663817,1.663853,4.258796,1.663835,4.258795,0.001348,0.001077,0.002551,0,0,1,1,1763,1801,0.002551,-1,"1801
",adder_dcop_43.mat,1813,1.179946,1,0.179946,0.152503,1,3,2,0.333333,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_44.mat,1813,11245,1310,1,6.202427,25.204365,0,618.25,0,4.620544,4.620544,1.663552,1.663518,4.258777,1.663535,4.258777,0.001382,0.001146,0.002549,0,0,1,1,1763,1801,0.002549,-1,"1801
",adder_dcop_44.mat,1813,1.179858,1.000001,0.179857,0.15244,1,3.000001,2.000001,0.333333,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_45.mat,1813,11246,1310,1,6.202978,25.212356,0,618.25,0,4.624685,4.624685,1.663846,1.66388,4.258799,1.663863,4.258799,0.001175,0.000934,0.002551,0,0,1,1,1763,1801,0.002551,-1,"1801
",adder_dcop_45.mat,1813,1.179954,1.246707,0.066753,0.056573,1,-0.997305,0.002695,1.250076,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_46.mat,1813,11246,1310,1,6.202978,25.205655,0,618.25,0,4.621472,4.621472,1.663679,1.663675,4.258785,1.663677,4.258785,0.001322,0.001042,0.002549,0,0,1,1,1763,1801,0.002549,-1,"1801
",adder_dcop_46.mat,1813,1.179903,1.126164,0.053739,0.045545,1,-0.997937,0.002063,1.128492,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_47.mat,1813,11246,1310,1,6.202978,25.191739,0,618.25,0,4.615463,4.615463,1.663624,1.663514,4.258767,1.663548,4.258767,0.001265,0.001132,0.002546,0,0,1,1,1763,1801,0.002546,-1,"1801
",adder_dcop_47.mat,1813,1.179858,1,0.179857,0.15244,1,-0.998592,0.001408,1.001411,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_48.mat,1813,11246,1310,1,6.202978,25.162398,0,618.25,0,4.600298,4.600298,1.663543,1.663825,4.258748,1.663684,4.258748,0.002317,0.001959,0.002537,0,0,1,1,1763,1801,0.002537,-1,"1801
",adder_dcop_48.mat,1813,1.179826,1,0.179826,0.152417,1,-1,0.000001,1.000001,8.32E+11,8.32E+11,8.32E+11,8.32E+11,1.00E+00,"0
"
adder_dcop_49.mat,1813,11246,1310,1,6.202978,25.167943,0,618.25,0,4.602048,4.602048,1.663624,1.663624,4.258759,1.663624,4.258758,0.00253,0.002913,0.002538,0,0,1,1,1763,1801,0.002538,-1,"1801
",adder_dcop_49.mat,1813,1.17989,1,0.17989,0.152463,1,-1,0.000001,1.000001,8.32E+11,8.32E+11,8.32E+11,8.32E+11,1.00E+00,"0
"
adder_dcop_50.mat,1813,11246,1310,1,6.202978,25.160119,0,618.25,0,4.59563,4.59563,1.663283,1.663926,4.258738,1.663605,4.258737,0.002285,0.002269,0.002535,0,0,1,1,1763,1801,0.002535,-1,"1801
",adder_dcop_50.mat,1813,1.179791,1.305304,0.125513,0.106386,1,-0.990684,0.009316,1.317579,7.95E+11,7.95E+11,7.95E+11,7.95E+11,1.00E+00,"0
"
adder_dcop_51.mat,1813,11246,1310,1,6.202978,25.148731,0,618.25,0,4.590665,4.590665,1.659115,1.659115,4.258558,1.659115,4.258558,0.001447,0.002405,0.002532,0,0,1,1,1763,1801,0.002532,-1,"1801
",adder_dcop_51.mat,1813,1.178553,1.279627,0.101074,0.085761,1,-0.99436,0.00564,1.286885,7.93E+11,7.93E+11,7.93E+11,7.93E+11,1.00E+00,"0
"
adder_dcop_52.mat,1813,11246,1310,1,6.202978,25.116846,0,618.25,0,4.57741,4.57741,1.644497,1.644653,4.257974,1.644575,4.257974,0.001239,0.001804,0.002525,0,0,1,1,1763,1801,0.002525,-1,"1801
",adder_dcop_52.mat,1813,1.17426,1,0.17426,0.1484,1,3,2,0.333333,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_53.mat,1813,11246,1310,1,6.202978,25.116598,0,618.25,0,4.581514,4.581514,1.644559,1.644561,4.257985,1.64456,4.257985,0.00026,0.000419,0.002527,0,0,1,1,1763,1801,0.002527,-1,"1801
",adder_dcop_53.mat,1813,1.174297,1.130887,0.04341,0.036967,1,-0.999534,0.000466,1.131414,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_54.mat,1813,11246,1310,1,6.202978,25.122336,0,618.25,0,4.584158,4.584158,1.644563,1.644563,4.257988,1.644563,4.257988,0.001017,0.001134,0.002528,0,0,1,1,1763,1801,0.002528,-1,"1801
",adder_dcop_54.mat,1813,1.174299,1.032141,0.142158,0.121058,1,3.06427,2.06427,0.336831,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_55.mat,1813,11246,1310,1,6.202978,25.132811,0,618.25,0,4.58732,4.58732,1.644563,1.644563,4.257991,1.644563,4.25799,0.003135,0.002562,0.00253,0,0,1,1,1763,1801,0.00253,-1,"1801
",adder_dcop_55.mat,1813,1.174299,1.000211,0.174088,0.148249,1,-0.998803,0.001197,1.001409,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_56.mat,1813,11246,1310,1,6.202978,25.123216,0,618.25,0,4.584476,4.584476,1.644563,1.644563,4.257989,1.644563,4.257988,0.001474,0.00119,0.002529,0,0,1,1,1763,1801,0.002529,-1,"1801
",adder_dcop_56.mat,1813,1.174299,1,0.174299,0.148428,1,3,2,0.333333,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_57.mat,1813,11246,1310,1,6.202978,25.119166,0,618.25,0,4.583378,4.583378,1.644563,1.644563,4.257988,1.644563,4.257988,0.000642,0.000516,0.002528,0,0,1,1,1763,1801,0.002528,-1,"1801
",adder_dcop_57.mat,1813,1.174299,1,0.174299,0.148428,1,3,2,0.333333,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_58.mat,1813,11246,1310,1,6.202978,25.117336,0,618.25,0,4.582883,4.582883,1.644563,1.644563,4.257988,1.644563,4.257988,0.000257,0.000206,0.002528,0,0,1,1,1763,1801,0.002528,-1,"1801
",adder_dcop_58.mat,1813,1.174299,1.044264,0.130035,0.110734,1,-0.999979,0.000021,1.044286,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
adder_dcop_59.mat,1813,11246,1310,1,6.202978,25.116595,0,618.25,0,4.582683,4.582683,1.644563,1.644563,4.257988,1.644563,4.257988,0.0001,0.00008,0.002528,0,0,1,1,1763,1801,0.002528,-1,"1801
",adder_dcop_59.mat,1813,1.174299,1.000703,0.173597,0.14783,1,-0.99934,0.00066,1.001364,7.86E+11,7.86E+11,7.86E+11,7.86E+11,1.00E+00,"0
"
