=== Re-evaluation on test set ===
   105          ?      2:bad      +   0.44  *0.56 
   106          ?      2:bad      +   0.451 *0.549
   107          ?      2:bad      +   0.384 *0.616
   108          ?      2:bad      +   0.427 *0.573
   109          ?      2:bad      +   0.393 *0.607
   110          ?      2:bad      +   0.323 *0.677
   111          ?      2:bad      +   0.381 *0.619
   112          ?      2:bad      +   0.356 *0.644
   113          ?      2:bad      +   0.349 *0.651
   114          ?      2:bad      +   0.343 *0.657
   115          ?      2:bad      +   0.422 *0.578
   116          ?      2:bad      +   0.362 *0.638
   117          ?      2:bad      +   0.402 *0.598
   118          ?      2:bad      +   0.302 *0.698
   119          ?      2:bad      +   0.441 *0.559
   120          ?      2:bad      +   0.412 *0.588
   121          ?      2:bad      +   0.363 *0.637
   122          ?      2:bad      +   0.364 *0.636
   123          ?      2:bad      +   0.391 *0.609
   124          ?      2:bad      +   0.312 *0.688
   125          ?      2:bad      +   0.381 *0.619
   126          ?      2:bad      +   0.366 *0.634
   127          ?      2:bad      +   0.401 *0.599
   128          ?     1:good      +  *0.777  0.223
   129          ?     1:good      +  *0.548  0.452
   130          ?     1:good      +  *0.597  0.403
   131          ?      2:bad      +   0.402 *0.598
   132          ?      2:bad      +   0.417 *0.583

=== Summary ===

Total Number of Instances                0     
Ignored Class Unknown Instances                132     


