' MinNonzerosPerRow',' NonZeroPatternSymmetryV1',' lowerBandwidth',' InfinityNorm',' ColumnVariance',' DiagonalMean','DiagonalNonZeros ',' DiagonalAverage',solver,class
4,1,768,4,1.005,0,0,0,37052871,good
4,1,768,4,1.005,0,0,0,80361466,good
4,1,768,4,1.005,0,0,0,80361467,good
4,1,768,4,1.005,0,0,0,80361464,good
4,1,768,4,1.005,0,0,0,80361465,good
4,1,768,4,1.005,0,0,0,49834420,good
4,1,768,4,1.005,0,0,0,1216556,good
4,1,768,4,1.005,0,0,0,36564235,good
4,1,768,4,1.005,0,0,0,75830647,good
4,1,768,4,1.005,0,0,0,75830646,good
4,1,768,4,1.005,0,0,0,18524981,good
4,1,768,4,1.005,0,0,0,37052869,good
4,1,768,4,1.005,0,0,0,37052868,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,89565283,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,91036839,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,45869639,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,45869638,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,45869637,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,47942867,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,89269802,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,89269803,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,89269801,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,89269804,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,30870721,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,53302993,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,30870720,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,64278029,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,44526267,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,17734818,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,95762352,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,49834417,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,49834419,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,49834418,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,11256942,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,11256943,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,11256941,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,42851841,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,11256944,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,31459546,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,17887723,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,91845162,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,53362206,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,95762355,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,12321508,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,75830644,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,95762353,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,85483012,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,47942864,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,47942865,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,47942866,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,8520536,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,82456576,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,95762354,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,90783920,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,99720138,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,30870723,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,30870722,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,13323659,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,45869640,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,36564233,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,68908713,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,36564232,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,75830645,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,36564234,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,81986705,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,37052870,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,37052871,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,80361466,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,80361467,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,80361464,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,80361465,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,49834420,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,1216556,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,36564235,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,75830647,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,75830646,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,18524981,good
3,0,49,15.85352,1.017864,2.96473,62,2.96473,37052869,bad
3,0,49,15.85352,1.017864,2.96473,62,2.96473,37052868,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,89565283,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,91036839,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,45869639,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,45869638,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,45869637,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,47942867,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,89269802,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,89269803,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,89269801,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,89269804,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,30870721,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,53302993,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,30870720,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,64278029,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,44526267,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,17734818,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,95762352,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,49834417,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,49834419,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,49834418,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,11256942,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,11256943,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,11256941,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,42851841,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,11256944,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,31459546,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,17887723,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,91845162,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,53362206,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,95762355,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,12321508,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,75830644,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,95762353,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,85483012,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,47942864,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,47942865,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,47942866,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,8520536,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,82456576,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,95762354,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,90783920,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,99720138,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,30870723,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,30870722,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,13323659,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,45869640,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,36564233,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,68908713,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,36564232,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,75830645,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,36564234,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,81986705,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,37052870,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,37052871,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,80361466,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,80361467,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,80361464,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,80361465,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,49834420,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,1216556,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,36564235,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,75830647,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,75830646,good
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,18524981,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,37052869,bad
4,0,127,59612707.24,75954868.24,2473648.258,3096,2473648.258,37052868,bad
1,0,1763,1.837167,1,0.002594,1801,0.002594,89565283,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,91036839,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,45869639,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,45869638,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,45869637,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,47942867,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,89269802,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,89269803,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,89269801,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,89269804,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,30870721,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,53302993,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,30870720,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,64278029,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,44526267,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,17734818,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,95762352,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,49834417,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,49834419,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,49834418,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,11256942,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,11256943,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,11256941,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,42851841,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,11256944,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,31459546,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,17887723,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,91845162,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,53362206,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,95762355,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,12321508,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,75830644,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,95762353,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,85483012,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,47942864,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,47942865,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,47942866,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,8520536,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,82456576,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,95762354,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,90783920,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,99720138,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,30870723,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,30870722,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,13323659,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,45869640,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,36564233,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,68908713,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,36564232,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,75830645,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,36564234,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,81986705,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,37052870,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,37052871,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,80361466,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,80361467,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,80361464,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,80361465,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,49834420,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,1216556,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,36564235,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,75830647,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,75830646,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,18524981,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,37052869,good
1,0,1763,1.837167,1,0.002594,1801,0.002594,37052868,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,89565283,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,91036839,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,45869639,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,45869638,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,45869637,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,47942867,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,89269802,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,89269803,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,89269801,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,89269804,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,30870721,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,53302993,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,30870720,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,64278029,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,44526267,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,17734818,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,95762352,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,49834417,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,49834419,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,49834418,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,11256942,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,11256943,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,11256941,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,42851841,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,11256944,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,31459546,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,17887723,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,91845162,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,53362206,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,95762355,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,12321508,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,75830644,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,95762353,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,85483012,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,47942864,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,47942865,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,47942866,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,8520536,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,82456576,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,95762354,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,90783920,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,99720138,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,30870723,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,30870722,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,13323659,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,45869640,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,36564233,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,68908713,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,36564232,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,75830645,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,36564234,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,81986705,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,37052870,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,37052871,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,80361466,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,80361467,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,80361464,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,80361465,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,49834420,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,1216556,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,36564235,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,75830647,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,75830646,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,18524981,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,37052869,good
1,0,1763,1.663415,1,0.002549,1801,0.002549,37052868,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,89565283,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,91036839,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,45869639,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,45869638,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,45869637,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,47942867,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,89269802,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,89269803,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,89269801,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,89269804,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,30870721,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,53302993,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,30870720,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,64278029,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,44526267,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,17734818,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,95762352,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,49834417,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,49834419,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,49834418,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,11256942,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,11256943,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,11256941,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,42851841,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,11256944,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,31459546,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,17887723,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,91845162,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,53362206,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,95762355,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,12321508,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,75830644,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,95762353,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,85483012,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,47942864,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,47942865,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,47942866,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,8520536,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,82456576,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,95762354,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,90783920,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,99720138,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,30870723,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,30870722,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,13323659,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,45869640,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,36564233,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,68908713,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,36564232,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,75830645,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,36564234,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,81986705,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,37052870,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,37052871,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,80361466,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,80361467,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,80361464,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,80361465,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,49834420,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,1216556,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,36564235,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,75830647,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,75830646,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,18524981,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,37052869,good
1,0,564,318714.29,1.001527,-0.001864,5,0.007297,37052868,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,89565283,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,91036839,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,45869639,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,45869638,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,45869637,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,47942867,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,89269802,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,89269803,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,89269801,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,89269804,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,30870721,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,53302993,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,30870720,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,64278029,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,44526267,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,17734818,good
1,0,929,29166.81998,1.000918,-0.000052,2,0.000052,95762352,good
